,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
239,600202.SH,20221228,5.06,5.12,4.98,5.0,5.05,-0.05,-0.9901,37833.0,19095.104
240,600202.SH,20221227,5.02,5.08,4.98,5.05,5.02,0.03,0.5976,34936.0,17583.861
241,600202.SH,20221226,4.93,5.02,4.87,5.02,4.87,0.15,3.0801,38459.1,19114.459
242,600202.SH,20221223,4.86,4.94,4.81,4.87,4.86,0.01,0.2058,35960.89,17523.01
243,600202.SH,20221222,4.98,5.0,4.83,4.86,4.96,-0.1,-2.0161,34733.99,17072.256
244,600202.SH,20221221,5.07,5.1,4.94,4.96,5.07,-0.11,-2.1696,34639.01,17315.534
245,600202.SH,20221220,4.97,5.1,4.93,5.07,4.97,0.1,2.0121,57886.02,29138.634
246,600202.SH,20221219,5.17,5.18,4.92,4.97,5.14,-0.17,-3.3074,68327.01,34180.859
247,600202.SH,20221216,5.2,5.23,5.1,5.14,5.23,-0.09,-1.7208,42987.0,22141.464
248,600202.SH,20221215,5.23,5.32,5.19,5.23,5.23,0.0,0.0,50854.24,26633.714
249,600202.SH,20221214,5.19,5.3,5.19,5.23,5.2,0.03,0.5769,53213.0,27964.654
250,600202.SH,20221213,5.22,5.29,5.18,5.2,5.19,0.01,0.1927,56482.0,29498.363
251,600202.SH,20221212,5.26,5.29,5.18,5.19,5.26,-0.07,-1.3308,54193.0,28300.365
252,600202.SH,20221209,5.34,5.37,5.24,5.26,5.31,-0.05,-0.9416,42511.9,22433.126
253,600202.SH,20221208,5.34,5.35,5.25,5.31,5.34,-0.03,-0.5618,51979.0,27530.903
254,600202.SH,20221207,5.35,5.37,5.29,5.34,5.39,-0.05,-0.9276,51481.89,27424.251
255,600202.SH,20221206,5.46,5.46,5.35,5.39,5.45,-0.06,-1.1009,44626.93,24022.012
256,600202.SH,20221205,5.4,5.46,5.37,5.45,5.4,0.05,0.9259,57898.24,31374.54
257,600202.SH,20221202,5.45,5.48,5.35,5.4,5.49,-0.09,-1.6393,70836.22,38236.941
258,600202.SH,20221201,5.39,5.51,5.35,5.49,5.36,0.13,2.4254,89234.0,48607.237
259,600202.SH,20221130,5.32,5.42,5.26,5.36,5.3,0.06,1.1321,63780.0,34100.985
260,600202.SH,20221129,5.23,5.32,5.2,5.3,5.2,0.1,1.9231,63957.0,33706.499
261,600202.SH,20221128,5.17,5.23,5.1,5.2,5.23,-0.03,-0.5736,49134.0,25396.739
262,600202.SH,20221125,5.26,5.28,5.2,5.23,5.27,-0.04,-0.759,40352.0,21089.662
263,600202.SH,20221124,5.25,5.3,5.19,5.27,5.22,0.05,0.9579,54417.02,28641.568
264,600202.SH,20221123,5.14,5.23,5.06,5.22,5.15,0.07,1.3592,58221.91,30076.132
